VIN,接收时间,报文时间,报文内容,
LDP53A930HC108980,2019/10/26 15:44,2019/10/26 15:44,232302fe4c4450353341393330484331303839383001008d130a1a0f2c0d010103010000000383f500d22729090100bb730000020101043d4e204e203702e827100500072d85a001e171ca0601021068010910680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000039,232302
LDP53A930HC108980,2019/10/26 15:44,2019/10/26 15:44,232302fe4c4450353341393330484331303839383001008d130a1a0f2c26010103010000000383f500d2272a090100e16f0000020101043d4e204e203702e827100500072d85a001e171c20601021068010910680101d20102000700000000000000000008010100d2272a001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000005c,232302
LDP53A930HC108980,2019/10/26 15:45,2019/10/26 15:45,232302fe4c4450353341393330484331303839383001008d130a1a0f2d03010103010000000383f500d22729090100c0de0000020101043d4e204e203702e827100500072d85a801e171c80601021068010910680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000ea,232302
LDP53A930HC108980,2019/10/26 15:45,2019/10/26 15:45,232302fe4c4450353341393330484331303839383001008d130a1a0f2d1c010103010000000383f500d22729090100dd450000020101043d4e204e203702e827100500072d85a801e171c00601021068010910680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000007b,232302
LDP53A930HC108980,2019/10/26 15:45,2019/10/26 15:45,232302fe4c4450353341393330484331303839383001008d130a1a0f2d35010103010000000383f500d22729090100d24c0000020101043d4e204e203702e827100500072d85a001e171c00601021068010910680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d20000005c,232302
LDP53A930HC108980,2019/10/26 15:46,2019/10/26 15:46,232302fe4c4450353341393330484331303839383001008d130a1a0f2e12010103010000000383f500d22729090100ea070000020101043d4e204e203702e827100500072d859001e171be0601021068010810680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000044,232302
LDP53A930HC108980,2019/10/26 15:46,2019/10/26 15:46,232302fe4c4450353341393330484331303839383001008d130a1a0f2e2b010103010000000383f500d22729090100dd4b0000020101043d4e204e203702e827100500072d859001e171be0601021068010810680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000006,232302
LDP53A930HC108980,2019/10/26 15:47,2019/10/26 15:47,232302fe4c4450353341393330484331303839383001008d130a1a0f2f08010103010000000383f500d22729090100ea0f0000020101043d4e204e203702e827100500072d859801e171c00601021068010910680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000020,232302
LDP53A930HC108980,2019/10/26 15:47,2019/10/26 15:47,232302fe4c4450353341393330484331303839383001008d130a1a0f2f21010103010000000383f500d22729090100ca380000020101043d4e204e203702e827100500072d859801e171c60601021068010810680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000019,232302
LDP53A930HC108980,2019/10/26 15:47,2019/10/26 15:47,232302fe4c4450353341393330484331303839383001008d130a1a0f2f3a010103010000000383f500d22729090100d2310000020101043d4e204e203702e827100500072d859801e171c60601021068010810680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d200000013,232302
LDP53A930HC108980,2019/10/26 15:48,2019/10/26 15:48,232302fe4c4450353341393330484331303839383001008d130a1a0f3017010103010000000383f500d22729090100bcbe0000020101043d4e204e203702e827100500072d859801e171c80601021068010810680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000ce,232302
LDP53A930HC108980,2019/10/26 15:48,2019/10/26 15:48,232302fe4c4450353341393330484331303839383001008d130a1a0f3030010103010000000383f500d22729090100e78e0000020101043d4e204e203702e827100500072d85a801e171d00601021068010810680101d20102000700000000000000000008010100d22729001600011600001068106810680000000000001068106800000000000000000000000000000000000000000000000000000901010004d2000000aa,232302
